Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,RoleID,LevelID,PerfScoreID,Tribe,Squad,DOB,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,RecruitmentSource,EngagementSurvey,EngangementSurveyRound,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Gusti Zainokta,10109,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Pay,10/23/71,Cina,16/02/2015,15/03/2017,no-call  no-show,Terminated for Cause,Indeed,4 6,5,4,4,20/01/2016,0,10
Hadi,10110,Belum Menikah,Single,L,TKP/ Outsource,Mobile Developer iOS,Junior,Fully meets,ENT,HunianAja,11/24/89,Jawa,30/03/2015,,N/A-StillEmployed,Active,LinkedIn,4 3,4,5,7,10/01/2020,0,20
Hadi Purnomo,10111,Menikah,Widowed,P,Prohire,Back End Developer,Junior,Average,ENT,Intermoda,06/18/92,Sunda,11/11/2013,,N/A-StillEmployed,Active,Indeed,4 3,4,5,0,18/02/2020,0,7
Hakim Rizki Pratama,10112,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,FIN,Inpoin,09/29/69,Padang,11/07/2011,,N/A-StillEmployed,Active,Diversity Job Fair,4 5,5,4,0,18/02/2020,0,1
Halah Helmia Wahdah,10113,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Data & Dashboard Analytics,10/12/1964,Bali,26/04/2010,30/05/2013,career change,Voluntarily Terminated,Diversity Job Fair,3,3,3,0,06/03/2012,3,10
Hammad Bhat,10114,Belum Menikah,Single,P,Prohire,Back End Developer,Senior,Exceed,EWD,Explore,04/16/81,Jawa,05/01/2015,,N/A-StillEmployed,Active,Employee Referral,4 61,5,4,5,28/01/2020,0,11
Hanif Maghfur,10115,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Average,EWD,AM Performance,05/25/86,Cina,12/05/2014,,N/A-StillEmployed,Active,LinkedIn,4 6,5,3,0,07/02/2020,0,20
Hans Christian Saragih,10116,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Middle,Average,EWD,Delivery & Project Mgt,05/21/79,Bali,02/07/2012,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,14/01/2020,0,2
Hardeni Jumaidi,10117,Menikah,Married,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Evaluate,12/08/1983,Jawa,30/09/2013,,N/A-StillEmployed,Active,Google Search,4 4,4,5,0,21/02/2020,0,1
Harsa,10118,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Average,EWD,Get Support,10/09/1974,Padang,19/08/2013,,N/A-StillEmployed,Active,LinkedIn,4 1,4,5,0,15/02/2020,0,3
Hasanal Bulkiah,10119,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Exceed,EWD,Get Support & Terminated,07/11/1981,Bali,02/06/2015,,N/A-StillEmployed,Active,Employee Referral,4 63,5,3,0,04/01/2020,0,2
Hasbi Nur Fadhil,10120,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Junior,Average,EWD,Pay,05/21/83,Bali,21/02/2011,11/01/2016,more money,Voluntarily Terminated,CareerBuilder,5,5,5,0,03/06/2014,0,17
Hazrul Saktio Ramadhana,10121,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,EWD,Payment - SSOF,06/30/89,Padang,20/04/2017,,N/A-StillEmployed,Active,Indeed,4 2,4,5,5,28/01/2020,0,8
Herdis Suryatna,10122,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Exceed,HLT,Pre Vaksinasi,02/09/1969,Bali,07/03/2012,31/10/2016,relocation out of area,Voluntarily Terminated,LinkedIn,4 5,5,5,0,01/02/2014,0,20
Hervita Ayu Andini,10123,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Senior,Special treatment,HLT,Vaksinasi,03/23/77,Jawa,28/11/2011,,N/A-StillEmployed,Active,Google Search,4 2,4,4,0,22/02/2020,0,13
Hilman Zakky,10124,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,FIN,Platform,08/10/1988,Bali,11/11/2013,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,08/01/2020,0,20
Idham Muhammad Irfani,10125,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Middle,Fully meets,EWD,Data & Dashboard Analytics,08/18/52,Padang,09/01/2012,15/12/2017,retiring,Voluntarily Terminated,CareerBuilder,4 64,5,4,0,02/05/2016,0,8
Ignatius Nicolas Harman,10126,Menikah,Married,P,TKP/ Outsource,Software Architect,Middle,Exceed,ENT,MyPertamina,05/02/1974,Jawa,12/05/2014,,N/A-StillEmployed,Active,CareerBuilder,4 76,5,4,0,15/02/2020,0,5
Ikhsan Dwi Murtiyanto,10127,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Middle,Exceed,ENT,MyPertamina,01/04/1984,Cina,13/08/2012,,N/A-StillEmployed,Active,Google Search,4 17,4,4,0,11/02/2020,0,1
Ilham Abdul Malik,10128,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Sekolah,08/27/72,Jawa,10/01/2011,18/06/2015,hours,Voluntarily Terminated,CareerBuilder,5,5,3,0,30/01/2014,0,15
Ilham Setiabudi,10129,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,VGA,IndiBOX Apps,09/14/88,Padang,18/08/2014,,N/A-StillEmployed,Active,Indeed,3 6,4,5,0,30/01/2020,0,9
Inda Novelia,10130,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Senior,Fully meets,IHL,IndiBOX STB,02/16/84,Bali,15/08/2011,07/04/2014,relocation out of area,Voluntarily Terminated,Indeed,3 03,3,5,0,05/03/2013,0,16
Indriani Tiosari Sitorus,10131,Menikah,Married,P,TKP/ Outsource,Mobile Developer Android,Junior,Exceed,FIN,Platform,02/21/84,Padang,30/03/2015,,N/A-StillEmployed,Active,Indeed,4 48,4,5,6,03/01/2020,0,4
Iqbal,10132,Menikah,Married,P,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,EWD,Core Domain,03/17/66,Padang,05/05/2014,,N/A-StillEmployed,Active,LinkedIn,4 5,5,4,0,21/01/2020,0,19
Iqbal Restu Maulana,10133,Menikah,Widowed,P,TKP/ Outsource,Front End Developer,Senior,Average,EWD,Get Support,09/16/85,Padang,16/02/2015,15/04/2017,no-call  no-show,Terminated for Cause,Indeed,3 24,3,3,4,15/04/2016,0,6
Irfan Hafizh Tawakal,10134,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,EDU,Squad Pijar Sekolah,06/10/1986,Cina,20/02/2012,,N/A-StillEmployed,Active,LinkedIn,4 8,5,4,0,07/01/2020,0,4
Irfan Naufal Ridi,10135,Menikah,Married,P,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Service Core,03/11/1984,Cina,06/06/2016,,N/A-StillEmployed,Active,LinkedIn,3,3,5,0,18/01/2020,0,4
Irham Raziqony,10136,Menikah,Widowed,P,TKP/ Outsource,Back End Developer,Junior,Average,EDU,Squad Control Tower,05/07/1992,Bali,05/06/2015,,N/A-StillEmployed,Active,Indeed,4 5,5,3,0,14/02/2020,0,6
Irman Juliansyah,10137,Belum Menikah,Single,P,TKP/ Outsource,System Documentation,Middle,Need improvement,EDU,Squad Service Core,09/22/76,Cina,21/02/2011,01/04/2015,unhappy,Voluntarily Terminated,Google Search,3 72,4,3,0,01/02/2014,0,18
Ismi Dwi Lestari,10138,Belum Menikah,Single,L,TKP/ Outsource,Front End Developer,Junior,Need improvement,COM,UMEETME,11/15/76,Bali,21/02/2011,24/09/2014,unhappy,Voluntarily Terminated,Indeed,2 34,2,2,0,12/04/2013,3,4
Ismi Narti,10139,Belum Menikah,Single,P,Prohire,Front End Developer,Senior,Exceed,IHL,IndiHome Smart,01/28/91,Padang,19/08/2013,,N/A-StillEmployed,Active,Indeed,3 99,4,3,0,14/01/2020,0,14
Jafar Haritsah,10140,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Fully meets,VGA,UseeTV Go,09/11/1972,Cina,05/11/2012,,N/A-StillEmployed,Active,LinkedIn,4 1,4,3,0,17/01/2020,0,7
Jessica Shopia Alussy,10141,Belum Menikah,Single,P,TKP/ Outsource,Mobile Developer Android,Junior,Fully meets,COM,ChatAja,03/22/66,Sunda,30/09/2013,,N/A-StillEmployed,Active,Employee Referral,4 3,4,5,0,22/02/2020,0,7
Jonior Prabowo,10142,Belum Menikah,Single,P,TKP/ Outsource,Mobile Developer Android,Junior,Exceed,LGT,Logee Truck Apps,11/06/1986,Bali,05/07/2011,,N/A-StillEmployed,Active,LinkedIn,4 6,5,4,0,25/02/2020,0,11
Karang Reksa,10143,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Front End Developer,Junior,Need improvement,EWD,Sales Cycle  ,04/13/64,Sunda,06/01/2014,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,21/01/2020,0,9
Karina Emelia,10144,Menikah,Widowed,L,Prohire,Scrum Master,Junior,Need improvement,COM,Vutura,08/19/59,Jawa,07/11/2011,29/04/2020,more money,Voluntarily Terminated,CareerBuilder,4 7,5,4,0,14/02/2019,0,9
Kevin Martinda Sodikin,10145,Belum Menikah,Single,P,TKP/ Outsource,DevOps Engineer,Middle,Need improvement,COM,Vutura,11/07/1986,Bali,05/01/2015,,N/A-StillEmployed,Active,Indeed,3 75,4,3,5,11/02/2020,0,2
Khalisa Syahba,10146,Menikah,Married,P,Prohire,Back End Developer,Senior,Average,IHX,Squad B,09/08/1969,Padang,07/07/2014,,N/A-StillEmployed,Active,LinkedIn,4 3,4,3,0,11/01/2020,0,1
Khonsa Qurrotul Ain,10147,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Fully meets,IHX,Squad C,04/17/86,Jawa,10/01/2011,01/04/2018,unhappy,Voluntarily Terminated,CareerBuilder,4,4,4,0,03/02/2017,0,4
Kushal Choudhary,10148,Menikah,Widowed,P,Prohire,Front End Developer,Middle,Fully meets,EWD,Get Support,11/11/1989,Padang,07/11/2011,24/04/2016,maternity leave - did not return,Voluntarily Terminated,Google Search,4 5,5,5,0,30/03/2014,0,2
Lando Rinov Siahaan,10149,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Need improvement,FIN,Bonum,01/19/76,Cina,30/09/2013,,N/A-StillEmployed,Active,Indeed,3 07,3,4,0,23/01/2020,0,10
Lazuardi Firdaus,10150,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Senior,Average,IHL,IndiHome Smart,11/27/79,Sunda,19/08/2013,,N/A-StillEmployed,Active,Indeed,4 3,4,5,0,22/01/2020,0,13
Luluauliayana Sadjugo,10151,Menikah,Married,P,TKP/ Outsource,Back End Developer,Senior,Average,VGA,UseeTV Go,09/21/54,Padang,02/07/2012,,N/A-StillEmployed,Active,Indeed,4 83,5,3,0,17/01/2020,0,10
Luqman Aminullah,10152,Belum Menikah,Single,P,TKP/ Outsource,System Documentation,Middle,Fully meets,FIN,Platform,12/08/1973,Bali,26/09/2011,04/06/2017,more money,Voluntarily Terminated,Google Search,3 6,4,5,0,01/03/2016,0,16
M Aidiel Rachman Putra,10153,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Scrum Master,Junior,Exceed,COM,ChatAja,10/08/1970,Padang,26/09/2011,09/01/2016,more money,Voluntarily Terminated,Google Search,3 49,3,4,0,30/01/2014,0,6
M Fadli Yoga Prawira,10154,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Exceed,COM,UMEETME,11/10/1977,Sunda,17/02/2014,,N/A-StillEmployed,Active,LinkedIn,3 1,3,3,0,06/02/2020,0,3
M Iqbal,10155,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Front End Developer,Junior,Special treatment,VGA,Ads Based,02/02/1980,Bali,10/01/2011,,N/A-StillEmployed,Active,Indeed,3 38,3,3,0,21/01/2020,0,17
M Luthfi Ridhwan,10156,Belum Menikah,Single,L,Prohire,Front End Developer,Middle,Exceed,VGA,IndiBOX Apps,02/24/69,Jawa,07/03/2011,,N/A-StillEmployed,Active,Diversity Job Fair,3 65,4,5,0,17/01/2020,0,20
M. Abdurrahman Lathief Pratama,10157,Menikah,Widowed,L,Prohire,Back End Developer,Junior,Fully meets,IHL,IndiHome Music,04/23/86,Sunda,10/11/2014,,N/A-StillEmployed,Active,Employee Referral,4 46,4,5,6,07/01/2020,0,7
M. Afsori,10158,Belum Menikah,Single,L,Prohire,Back End Developer,Junior,Exceed,VGA,UseeTV Go,07/01/1972,Cina,10/01/2011,12/12/2017,attendance,Terminated for Cause,Employee Referral,4 78,5,4,0,15/02/2016,0,9
M. Bahtiar,10159,Belum Menikah,Single,P,Prohire,UI Designer,Junior,Fully meets,EDU,Squad Pijar Corpu,07/25/79,Cina,07/01/2013,31/03/2016,Another position,Voluntarily Terminated,Indeed,4 52,5,3,0,20/02/2015,0,20
M. Ridwan,10160,Belum Menikah,Single,L,TKP/ Outsource,Business Analyst,Middle,Exceed,EDU,Squad Pijar Mahir,12/09/1986,Padang,09/07/2012,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,04/02/2020,0,13
M. Sifaun Niam,10161,Belum Menikah,Single,L,TKP/ Outsource,Business Analyst,Junior,Special treatment,EWD,Product & Content Management System,04/26/84,Cina,06/01/2014,,N/A-StillEmployed,Active,Website,5,5,4,4,17/01/2020,0,3
M.Khairi Usman,10162,Menikah,Married,L,Prohire,Business Analyst,Junior,Exceed,EWD,Progressive Web App,05/09/1984,Sunda,02/04/2012,15/04/2015,more money,Voluntarily Terminated,Google Search,4 9,5,3,0,20/02/2014,0,20
Magfira Fairuz,10163,Menikah,Married,P,Prohire,Business Analyst,Junior,Exceed,EWD,Activate & Install,06/14/87,Cina,02/10/2016,,N/A-StillEmployed,Active,Indeed,4 1,4,5,7,08/01/2020,0,2
Mahardicka Nurachman,10164,Menikah,Pernah Menikah/Bercerai,P,Prohire,Front End Developer,Junior,Exceed,LGT,Logee Truck Web,01/17/79,Padang,26/09/2011,19/08/2020,return to school,Voluntarily Terminated,CareerBuilder,4 88,5,3,0,02/07/2018,0,17
Maman Imtiyaz,10165,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,IHX,Squad B,06/10/1984,Sunda,05/01/2016,,N/A-StillEmployed,Active,CareerBuilder,4 1,4,4,0,28/01/2020,0,20
Mauliawan Prima Santosa,10166,Menikah,Married,L,TKP/ Outsource,UX Designer,Junior,Fully meets,VGA,IndiBOX Apps,09/02/1982,Sunda,14/05/2012,,N/A-StillEmployed,Active,Google Search,4 1,4,3,0,22/02/2020,0,10
Meidiana Aprilliani,10167,Menikah,Widowed,L,TKP/ Outsource,Front End Developer,Junior,Exceed,VGA,UseeTV Go,12/27/88,Bali,30/04/2012,,N/A-StillEmployed,Active,Website,4 53,5,3,0,29/01/2020,0,16
Mesakh,10168,Menikah,Widowed,P,TKP/ Outsource,Product Owner,Junior,Average,LGT,Logee Truck Apps,10/26/81,Cina,30/09/2013,,N/A-StillEmployed,Active,Website,4 1,4,3,0,21/01/2020,0,11
Mochamad Ramdhan,10169,Menikah,Widowed,P,TKP/ Outsource,Scrum Master,Middle,Special treatment,EDU,Squad Pijar Sekolah,03/26/81,Padang,05/07/2011,26/09/2020,unhappy,Voluntarily Terminated,Indeed,3 18,3,4,0,02/03/2019,0,16
Moh Anang Nur Aji Pambudi,10170,Menikah,Married,L,Prohire,UX Researcher,Junior,Fully meets,EDU,Squad Pijar Sekolah,03/19/79,Cina,08/07/2013,,N/A-StillEmployed,Active,LinkedIn,4,4,3,0,18/02/2020,0,7
Mohamad Rinaldy,10171,Menikah,Pernah Menikah/Bercerai,P,Prohire,Front End Developer,Middle,Need improvement,EDU,Squad Pijar Sekolah,10/05/1988,Bali,21/01/2011,,N/A-StillEmployed,Active,Diversity Job Fair,4 64,5,4,5,25/01/2020,0,14
Mohammad Alhafidz Permana Baskoro,10172,Menikah,Married,P,TKP/ Outsource,Digital Product Manager,Junior,Special treatment,ENT,MyPertamina,12/26/76,Padang,08/07/2013,15/09/2018,more money,Voluntarily Terminated,LinkedIn,4 65,5,4,0,10/06/2017,0,15
Mohammad Zamal Syahputra,10173,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Digital Product Manager,Junior,Fully meets,HLT,Pre Vaksinasi,03/28/82,Padang,19/08/2013,,N/A-StillEmployed,Active,Indeed,4 2,4,4,0,12/02/2020,0,19
Mohammed Ammad,10174,Belum Menikah,Single,P,TKP/ Outsource,UI Designer,Senior,Fully meets,COM,ChatAja,10/22/75,Bali,16/02/2015,,N/A-StillEmployed,Active,Website,5,5,3,0,23/01/2020,0,6
Mona Turisna Nasution,10175,Belum Menikah,Single,P,TKP/ Outsource,UI Designer,Junior,Average,VGA,UseeTV Go,02/14/73,Cina,07/11/2011,14/11/2017,Another position,Voluntarily Terminated,Diversity Job Fair,5,5,4,0,02/02/2016,0,17
Muhamad,10176,Menikah,Married,L,TKP/ Outsource,Back End Developer,Junior,Average,FIN,MPS,11/09/1972,Sunda,24/09/2012,26/09/2019,hours,Voluntarily Terminated,Indeed,3 08,3,4,0,01/04/2018,0,18
Muhamad Hanif Abiyoga,10177,Belum Menikah,Single,P,TKP/ Outsource,Back End Developer,Junior,Average,IHX,Squad A,07/07/1986,Sunda,06/01/2014,,N/A-StillEmployed,Active,LinkedIn,4 6,5,4,0,26/02/2020,0,14
Muhamad Son'ani,10178,Menikah,Married,P,TKP/ Outsource,Back End Developer,Senior,Exceed,FIN,Platform,08/25/76,Cina,11/05/2016,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,21/01/2020,0,4
Muhamad Syaifurrahman Muhtarom,10179,Belum Menikah,Single,P,TKP/ Outsource,Front End Developer,Junior,Exceed,ENT,HunianAja,12/10/1986,Cina,05/07/2011,19/08/2014,Another position,Voluntarily Terminated,LinkedIn,5,5,4,0,02/07/2013,0,16
Muhammad Abdurrahim Suwandi,10180,Belum Menikah,Single,P,TKP/ Outsource,Product Owner,Junior,Fully meets,Com,DTP Com,11/07/1974,Jawa,11/11/2013,,N/A-StillEmployed,Active,LinkedIn,4 1,4,3,0,22/01/2020,0,11
Muhammad Afthon,10181,Menikah,Pernah Menikah/Bercerai,P,Prohire,Product Owner,Middle,Special treatment,COM,UMEETME,11/07/1987,Cina,11/11/2013,,N/A-StillEmployed,Active,Google Search,4 5,5,5,4,14/01/2020,0,14
Muhammad Agiet Putra,10182,Belum Menikah,Single,P,Prohire,Product Owner,Middle,Exceed,EWD,Get Support,11/22/77,Jawa,31/05/2011,,N/A-StillEmployed,Active,Indeed,5,5,4,0,10/01/2020,0,8
Muhammad Akmalul Ginan,10183,Menikah,Widowed,P,TKP/ Outsource,Business Analyst,Junior,Exceed,FIN,GTM,05/21/87,Bali,30/03/2015,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,07/02/2020,0,16
Muhammad Andika Tata,10184,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Junior,Fully meets,ENT,MyPertamina,01/07/1987,Jawa,07/01/2013,,N/A-StillEmployed,Active,CareerBuilder,3 93,4,3,0,30/01/2020,0,20
Muhammad Attallah Zhuhry,10185,Menikah,Married,L,TKP/ Outsource,Product Owner,Middle,Average,FIN,Bonum,07/01/1984,Cina,06/07/2016,,N/A-StillEmployed,Active,Website,3 4,3,4,0,29/01/2020,0,7
Muhammad Faishal Ramadhan,10186,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Business Analyst,Junior,Exceed,COM,UMEETME,05/30/68,Jawa,02/04/2012,11/11/2018,Another position,Voluntarily Terminated,Diversity Job Fair,4 18,4,4,0,05/02/2017,0,17
Muhammad Fauzi,10187,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Junior,Average,FIN,Inpoin,09/22/76,Padang,30/03/2015,,N/A-StillEmployed,Active,CareerBuilder,5,5,4,0,21/01/2020,0,10
Muhammad Febriansyah,10188,Menikah,Married,L,Karyawan Organik,Business Analyst,Middle,Fully meets,IHX,Squad B,08/10/1981,Jawa,16/08/2012,,N/A-StillEmployed,Active,Indeed,4 37,4,3,0,14/01/2020,0,2
Muhammad Ilham Rilambang,10189,Belum Menikah,Single,L,Karyawan Organik,Product Owner,Junior,Exceed,EWD,Explore,06/29/85,Cina,15/08/2011,04/09/2016,unhappy,Voluntarily Terminated,LinkedIn,3,3,2,0,14/01/2014,6,6
Muhammad Indrawan,10190,Menikah,Widowed,L,TKP/ Outsource,Product Owner,Middle,Average,COM,ChatAja,08/17/92,Cina,07/11/2011,,N/A-StillEmployed,Active,LinkedIn,3 7,4,3,0,08/01/2020,0,14
Muhammad Jamaludin,10191,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Product Owner,Junior,Average,COM,OCA,10/05/1986,Jawa,15/02/2012,,N/A-StillEmployed,Active,Diversity Job Fair,2 39,2,3,6,22/02/2020,4,13
Muhammad Maulana Darrel Monty,10192,Belum Menikah,Single,P,TKP/ Outsource,Business Analyst,Junior,Fully meets,FIN,GTM,04/24/70,Padang,13/05/2013,,N/A-StillEmployed,Active,Indeed,4 7,5,3,0,14/01/2020,0,1
Muhammad Maulana Hadi,10193,Menikah,Married,L,TKP/ Outsource,Product Owner,Junior,Fully meets,FIN,GTM,12/03/1976,Bali,09/01/2012,,N/A-StillEmployed,Active,Diversity Job Fair,4 1,4,4,0,31/01/2020,0,12
Muhammad Misbah Arya Lugina,10194,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,UI Designer,Junior,Average,FIN,Inpoin,04/04/1979,Sunda,16/02/2015,,N/A-StillEmployed,Active,CareerBuilder,3 81,4,3,6,11/02/2020,0,6
Muhammad Raihan Nismara,10195,Belum Menikah,Single,P,TKP/ Outsource,UX Designer,Junior,Average,EDU,Squad Pijar Corpu,07/07/1984,Padang,01/04/2013,,N/A-StillEmployed,Active,LinkedIn,4 4,4,4,0,17/01/2020,0,18
Muhammad Rajab Priharsanto,10196,Belum Menikah,Single,L,TKP/ Outsource,UI Designer,Junior,Average,EDU,Squad Pijar Mahir,12/01/1974,Sunda,13/05/2013,,N/A-StillEmployed,Active,LinkedIn,4 29,4,5,0,28/01/2020,0,11
Muhammad Risano Akbar,10197,Belum Menikah,Single,L,TKP/ Outsource,UX Designer,Junior,Fully meets,EWD,Delivery & Project Mgt,04/18/80,Jawa,08/07/2013,,N/A-StillEmployed,Active,LinkedIn,4 1,4,4,0,22/01/2020,0,13
Muhammad Rizki Nofsyiami,10198,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,UI Designer,Junior,Need improvement,EWD,Refactoring New IA,04/25/70,Padang,10/02/2017,,N/A-StillEmployed,Active,Indeed,5,5,3,6,25/02/2020,0,17
Muhammad Rizqi Mubarak,10199,Belum Menikah,Single,L,TKP/ Outsource,UI Designer,Junior,Exceed,ENT,MyPertamina,05/02/1989,Jawa,26/09/2011,04/04/2016,return to school,Voluntarily Terminated,Diversity Job Fair,4 3,4,3,0,02/03/2014,0,19
Muhammad Rozinul Mahrus,10200,Menikah,Married,L,TKP/ Outsource,UX Designer,Middle,Average,EDU,Squad Service Core,03/28/83,Bali,01/04/2013,25/05/2018,more money,Voluntarily Terminated,Employee Referral,3 18,3,3,0,06/03/2017,0,10
Muhammad Sidiq,10201,Menikah,Widowed,L,TKP/ Outsource,UI Designer,Middle,Average,COM,UMEETME,04/08/1977,Bali,12/05/2014,,N/A-StillEmployed,Active,LinkedIn,5,5,5,0,18/02/2020,0,11
Nabilla,10202,Menikah,Widowed,P,TKP/ Outsource,UX Writer,Junior,Fully meets,Com,DTP Com,06/03/1967,Sunda,01/04/2013,,N/A-StillEmployed,Active,Diversity Job Fair,4,4,3,0,13/02/2020,0,12
Nanda Yusuf,10203,Menikah,Widowed,P,TKP/ Outsource,UX Designer,Junior,Average,COM,UMEETME,03/31/89,Jawa,08/07/2013,,N/A-StillEmployed,Active,Indeed,5,5,5,0,25/01/2020,0,2
Naufal Rasyad,10204,Belum Menikah,Single,P,TKP/ Outsource,UX Writer,Junior,Fully meets,EDU,Squad Pijar Corpu,07/07/1984,Bali,08/07/2013,,N/A-StillEmployed,Active,LinkedIn,3 6,4,5,0,02/01/2020,0,4
Naufal Rizky Pratama,10205,Menikah,Widowed,P,TKP/ Outsource,Artificial Intelligent,Junior,Average,EDU,Squad Pijar Mahir,11/23/85,Cina,10/11/2014,,N/A-StillEmployed,Active,Indeed,4 53,5,5,0,16/01/2020,0,5
Nila Herlina,10206,Belum Menikah,Single,P,Prohire,UI Designer,Junior,Exceed,IHX,Squad C,09/30/80,Bali,31/03/2014,01/05/2020,performance,Terminated for Cause,LinkedIn,2 33,2,2,0,09/03/2019,6,3
Nurisyani,10207,Menikah,Married,P,Prohire,Back End Developer,Junior,Average,LGT,Logee Truck All Product,02/11/1952,Bali,14/05/2012,19/08/2015,unhappy,Voluntarily Terminated,LinkedIn,5,5,3,0,02/07/2014,0,17
Nurkhasanah,10208,Belum Menikah,Single,P,Prohire,Back End Developer,Junior,Need improvement,COM,OCA,05/11/1990,Sunda,30/09/2013,,N/A-StillEmployed,Active,Indeed,4 28,4,3,0,25/01/2020,0,1
Peni Kurniawati,10209,Belum Menikah,Single,L,Prohire,Front End Developer,Junior,Fully meets,FIN,Platform,12/11/1976,Padang,30/09/2013,,N/A-StillEmployed,Active,LinkedIn,5,5,3,0,07/02/2020,0,13
Prajna Vira,10210,Belum Menikah,Single,L,Prohire,Front End Developer,Junior,Fully meets,FIN,Platform,11/24/79,Bali,17/02/2014,,N/A-StillEmployed,Active,LinkedIn,4 25,4,3,0,04/02/2020,4,6
Pratama Agung Sumirat,10211,Belum Menikah,Single,L,Prohire,Front End Developer,Junior,Exceed,FIN,Platform,05/19/82,Cina,05/01/2015,,N/A-StillEmployed,Active,Website,5,5,5,0,14/01/2020,0,18
Prita Normanita,10212,Belum Menikah,Single,P,Prohire,Front End Developer,Junior,Average,ENT,MyPertamina,05/01/1979,Bali,07/02/2011,12/01/2016,Another position,Voluntarily Terminated,Google Search,3 89,4,4,0,04/03/2014,0,7
Qaedif Fuadillah,10213,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Back End Developer,Junior,Special treatment,COM,UMEETME,02/20/79,Jawa,07/11/2011,07/09/2017,Another position,Voluntarily Terminated,Diversity Job Fair,5,5,5,3,16/08/2016,0,13
Qalfin Qallista Turandy,10214,Menikah,Pernah Menikah/Bercerai,L,TKP/ Outsource,Mobile Developer Android,Middle,Average,EWD,RPA & Profitability,09/05/1984,Jawa,01/12/2014,01/05/2018,performance,Voluntarily Terminated,Employee Referral,4 7,5,4,5,16/01/2017,0,19
R Aditya Prastyawan,10215,Belum Menikah,Single,L,TKP/ Outsource,Back End Developer,Junior,Exceed,EDU,Squad Pijar Mahir,03/17/88,Cina,10/01/2011,28/12/2019,career change,Voluntarily Terminated,Google Search,3 54,4,5,0,06/04/2018,4,15
R. Abimanyu Sutomo,10216,Menikah,Pernah Menikah/Bercerai,P,TKP/ Outsource,Back End Developer,Senior,Exceed,ENT,HunianAja,07/18/89,Cina,05/07/2011,15/09/2017,unhappy,Voluntarily Terminated,CareerBuilder,2 4,2,5,0,06/02/2016,5,2
Rachman Teja,10217,Menikah,Married,P,Karyawan Organik,Back End Developer,Junior,Exceed,LGT,Logee Port (Maintainer),07/20/86,Padang,16/05/2011,25/10/2017,medical issues,Voluntarily Terminated,LinkedIn,3 45,3,4,0,13/05/2015,0,5
